user_id,email,created_at,country
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,pepito2@jujo.com.co,2025-09-01,CO
u005,pepito5@jujo.com.co,2025-02-31,US
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,pepito2@jujo.com.co,2025-09-01,CO
u005,pepito5@jujo.com.co,2025-02-31,US
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,pepito2@jujo.com.co,2025-09-01,CO
u005,pepito5@jujo.com.co,2025-02-31,US
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,pepito2@jujo.com.co,2025-09-01,CO
u005,pepito5@jujo.com.co,2025-02-31,US
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,pepito2@jujo.com.co,2025-09-01,CO
u005,pepito5@jujo.com.co,2025-02-31,US
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,pepito2@jujo.com.co,2025-09-01,CO
u005,pepito5@jujo.com.co,2025-02-31,US
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,pepito2@jujo.com.co,2025-09-01,CO
u005,pepito5@jujo.com.co,2025-02-31,US
u001,pepito@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,pepito2@jujo.com.co,2025-09-01,CO
u005,pepito5@jujo.com.co,2025-02-31,US
u001,pepito@jujo.com.co,2025-09-01 00:00:00,CO
u001,pepito@jujo.com.co,2025-09-01 00:00:00,CO
u002,pepito2@jujo.com.co,2025-09-01 00:00:00,CO
u005,pepito5@jujo.com.co,2025-02-28 00:00:00,US
u001,Medellin@jujo.com.co,2025-09-01,CO
u001,pepito@jujo.com.co,2025-09-01,CO
u002,Colombia@jujo.com.co,2025-09-01,CO
u005,Cali@jujo.com.co,2025-02-28,CO
